plot_key,SI_gada_plot,SI_gada_n,n_species
45.3324_-122.0558,43.3946532094456,6,1
47.7867_-114.7288,14.1135108843154,6,1
36.6838_-106.2335,13.7567346989601,5,1
42.5069_-124.1847,30.0692943740558,46,1
40.9831_-123.5319,32.7154021399795,8,1
44.8803_-109.5941,14.9660778707338,4,2
44.322_-114.7386,20.3118085941438,6,1
43.4407_-109.5265,10.6095269299481,3,1
42.4526_-122.5932,26.3872625050788,14,1
42.1824_-123.4293,24.8198608302005,9,1
44.3665_-120.0163,12.3645941697419,6,1
44.1087_-115.1327,17.2117557141636,12,1
45.6751_-121.8393,40.0074019223404,10,1
44.9579_-115.034,14.3577350240674,6,1
44.504_-114.9235,22.3782953868798,10,1
45.0484_-115.0997,14.3872373423543,4,1
39.6308_-123.6155,31.7609237098592,15,1
43.427_-109.5837,12.2706635227435,4,1
40.0457_-120.9564,18.1893500307173,10,1
47.9957_-122.7623,30.9895287085298,20,1
48.5779_-120.2535,28.6684866256707,9,1
47.526_-115.2074,20.2162254263287,4,1
39.2958_-109.7268,12.0937405358447,9,2
38.5126_-108.5902,13.5453783553738,13,2
48.6957_-121.1069,19.873934918628,10,1
45.9962_-122.8895,27.5149709469495,4,1
46.6178_-122.6944,30.3791230060132,21,1
39.5221_-105.2886,11.6774873648209,4,1
48.6219_-122.0858,33.2813086031847,25,1
46.7902_-123.3075,26.6876281704137,51,1
41.9376_-122.1541,25.8841299243852,1,1
46.2867_-121.6908,29.5694675184644,6,1
33.3655_-108.4136,13.8935967162748,3,1
45.4604_-123.4135,45.4882873436286,10,1
47.5822_-122.8081,35.7972419900135,14,1
44.6614_-122.4734,34.9358763311144,20,1
43.1394_-123.0295,28.5609277513944,12,1
45.8948_-122.4134,45.8509688502369,42,1
48.1467_-122.0049,30.0324540654194,10,1
42.0503_-122.2879,28.1929956991609,6,1
44.6118_-115.7408,15.2886781488007,4,1
43.4114_-122.5616,34.2288902578125,9,1
37.3224_-105.285,13.5329404232728,9,1
45.41_-123.4526,41.3779289020969,15,1
47.9937_-123.1796,28.6578142120285,22,1
41.3292_-111.6616,21.7917851916827,4,1
45.6537_-117.4586,20.8445227162886,10,1
45.5464_-117.9434,22.6116663478963,3,1
37.0629_-121.9218,31.4409961496051,1,1
43.8785_-122.1436,37.6055977590225,7,1
39.7239_-123.6844,25.3207379288265,6,1
